City,Latitude,Longitudes,Elevation,Date,Precipitation,Temperature,HCHO_reading
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-04-12,0.67,62,0.00018255800726187652
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-03-27,0.0,58,3.660957586426483e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-12-21,0.64,59,3.75833649508801e-05
Colombo Proper,6.9,79.867,7.0,2020-11-02,0.0,84,0.00010352648444266678
Colombo Proper,6.9,79.867,7.0,2021-02-28,0.0,83,0.0002025289533110259
Colombo Proper,6.9,79.867,7.0,2021-09-07,0.35,83,0.00015063527008098526
Colombo Proper,6.9,79.867,7.0,2022-10-23,2.69,78,8.128877969739085e-05
Colombo Proper,6.9,79.867,7.0,2022-11-08,0.18,80,0.00017231260376694466
Colombo Proper,6.9,79.867,7.0,2023-02-13,0.0,81,0.0004747360277069082
Colombo Proper,6.9,79.867,7.0,2023-03-29,0.0,84,3.4584791436822145e-05
Colombo Proper,6.9,79.867,7.0,2023-05-24,0.0,85,0.00010612557240570539
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-07-22,0.0,63,0.0001641782680617856
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-10-04,0.0,59,7.112750198193982e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-10-05,0.0,62,6.444454029010681e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-11-25,0.51,60,0.00012739398288931283
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-09-08,0.13,61,0.00011136481183340581
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-10-22,0.17,60,2.6966640868278597e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-11-22,0.0,62,1.1748669859532387e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-04-10,0.0,62,3.5249961950783075e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-09-20,0.73,62,0.00012164780007169112
Colombo Proper,6.9,79.867,7.0,2022-10-25,0.04,81,8.680718300411579e-05
Colombo Proper,6.9,79.867,7.0,2023-03-26,0.0,83,0.0003344852302632867
Colombo Proper,6.9,79.867,7.0,2023-08-02,0.0,83,6.640316807957227e-05
Colombo Proper,6.9,79.867,7.0,2023-08-31,0.67,81,0.00011605578011391962
Colombo Proper,6.9,79.867,7.0,2023-10-20,0.22,80,6.573905740465747e-05
Colombo Proper,6.9,79.867,7.0,2023-11-01,3.63,81,0.00015753477009397535
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-06-04,0.48,63,5.674527857013206e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-08-08,0.5,59,5.033948365134109e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-10-16,0.19,59,1.9608630041682047e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-03-16,0.0,62,5.105386298132563e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-06-25,0.1,61,9.930079318741966e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-09-30,0.37,60,0.00021003322699851627
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-11-30,0.44,60,6.136571504201845e-05
Colombo Proper,6.9,79.867,7.0,2021-03-14,0.28,82,0.00021794020987743403
Colombo Proper,6.9,79.867,7.0,2021-04-21,0.6,84,0.00019721310198846014
Colombo Proper,6.9,79.867,7.0,2022-07-17,0.0,84,0.00012142701820962024
Colombo Proper,6.9,79.867,7.0,2023-02-23,0.0,82,0.00022093725638778878
Colombo Proper,6.9,79.867,7.0,2023-07-12,0.0,84,0.00015989638537916437
